分类: 📺央视频道, 名称: CCTV-8K, 有效: 4, IPv4: 12, IPv6: 0, 最小延迟: 343 ms, 最高速率: 9.05 M/s, 平均速率: 8.07 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-4K, 有效: 5, IPv4: 66, IPv6: 0, 最小延迟: 218 ms, 最高速率: 5.82 M/s, 平均速率: 5.70 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-1 综合, 有效: 5, IPv4: 413, IPv6: 0, 最小延迟: 348 ms, 最高速率: 8.77 M/s, 平均速率: 4.29 M/s, 最高分辨率: 1920x1080, 平均帧率: 28.12, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-2 财经, 有效: 5, IPv4: 344, IPv6: 0, 最小延迟: 343 ms, 最高速率: 8.77 M/s, 平均速率: 4.25 M/s, 最高分辨率: 1920x1080, 平均帧率: 31.82, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-3 综艺, 有效: 5, IPv4: 337, IPv6: 0, 最小延迟: 344 ms, 最高速率: 11.81 M/s, 平均速率: 5.45 M/s, 最高分辨率: 1920x1080, 平均帧率: 32.14, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-4 中文国际, 有效: 5, IPv4: 349, IPv6: 0, 最小延迟: 745 ms, 最高速率: 5.93 M/s, 平均速率: 2.36 M/s, 最高分辨率: 1920x1080, 平均帧率: 29.17, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-5 体育, 有效: 5, IPv4: 340, IPv6: 0, 最小延迟: 329 ms, 最高速率: 13.65 M/s, 平均速率: 5.28 M/s, 最高分辨率: 1920x1080, 平均帧率: 28.57, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-5+ 体育赛事, 有效: 5, IPv4: 280, IPv6: 0, 最小延迟: 741 ms, 最高速率: 6.30 M/s, 平均速率: 2.51 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-6 电影, 有效: 5, IPv4: 332, IPv6: 0, 最小延迟: 345 ms, 最高速率: 11.87 M/s, 平均速率: 5.51 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-7 国防军事, 有效: 5, IPv4: 333, IPv6: 0, 最小延迟: 345 ms, 最高速率: 8.77 M/s, 平均速率: 3.53 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-8 电视剧, 有效: 5, IPv4: 324, IPv6: 0, 最小延迟: 132 ms, 最高速率: 12.42 M/s, 平均速率: 5.00 M/s, 最高分辨率: 1920x1080, 平均帧率: 28.57, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-9 纪录, 有效: 5, IPv4: 334, IPv6: 0, 最小延迟: 344 ms, 最高速率: 8.77 M/s, 平均速率: 3.64 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-10 科教, 有效: 5, IPv4: 343, IPv6: 0, 最小延迟: 345 ms, 最高速率: 8.77 M/s, 平均速率: 3.12 M/s, 最高分辨率: 1920x1080, 平均帧率: 29.17, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-11 戏曲, 有效: 5, IPv4: 313, IPv6: 0, 最小延迟: 345 ms, 最高速率: 8.77 M/s, 平均速率: 3.74 M/s, 最高分辨率: 1920x1080, 平均帧率: 31.25, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-12 社会与法, 有效: 5, IPv4: 323, IPv6: 0, 最小延迟: 345 ms, 最高速率: 8.77 M/s, 平均速率: 4.48 M/s, 最高分辨率: 1920x1080, 平均帧率: 32.14, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-13 新闻, 有效: 5, IPv4: 329, IPv6: 0, 最小延迟: 718 ms, 最高速率: 5.99 M/s, 平均速率: 2.17 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-14 少儿, 有效: 5, IPv4: 330, IPv6: 0, 最小延迟: 346 ms, 最高速率: 8.77 M/s, 平均速率: 4.29 M/s, 最高分辨率: 1920x1080, 平均帧率: 28.57, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-15 音乐, 有效: 5, IPv4: 315, IPv6: 0, 最小延迟: 345 ms, 最高速率: 8.77 M/s, 平均速率: 3.12 M/s, 最高分辨率: 1920x1080, 平均帧率: 35.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-16 奥林匹克, 有效: 5, IPv4: 215, IPv6: 0, 最小延迟: 726 ms, 最高速率: 5.95 M/s, 平均速率: 3.04 M/s, 最高分辨率: 1920x1080, 平均帧率: 28.57, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-17 农业农村, 有效: 5, IPv4: 276, IPv6: 0, 最小延迟: 344 ms, 最高速率: 8.77 M/s, 平均速率: 3.36 M/s, 最高分辨率: 1920x1080, 平均帧率: 28.57, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-4美洲, 有效: 1, IPv4: 43, IPv6: 0, 最小延迟: 10 ms, 最高速率: 8.19 M/s, 平均速率: 8.19 M/s, 最高分辨率: 1920x1080, 平均帧率: 27.50, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-4欧洲, 有效: 1, IPv4: 44, IPv6: 0, 最小延迟: 18 ms, 最高速率: 8.17 M/s, 平均速率: 8.17 M/s, 最高分辨率: 1920x1080, 平均帧率: 27.50, 视频编解码器: h264, 音频编解码器: aac
分类: 🌊港澳台, 名称: BBC News, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: 331 ms, 最高速率: 0.23 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1024x576, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 🌊港澳台, 名称: 黄金翡翠台, 有效: 0, IPv4: 2, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌊港澳台, 名称: TVB Plus, 有效: 1, IPv4: 17, IPv6: 0, 最小延迟: 98 ms, 最高速率: 62.51 M/s, 平均速率: 0.92 M/s, 最高分辨率: 1920x1080, 平均帧率: 20.00, 视频编解码器: h264, 音频编解码器: aac
