🕘️更新时间,#genre#
2026-04-08 23:59:15,http://198.204.240.250:82/live/cctv4k.m3u8?jsbt=1760495957&jsbk=138a7cd8fb02f369c744cf0ceb413e85

📺央视频道,#genre#
CCTV-4K,http://198.204.240.250:82/live/cctv4k.m3u8?jsbt=1760495957&jsbk=138a7cd8fb02f369c744cf0ceb413e85
CCTV-4K,http://38.75.136.137:98/gslb/dsdqpub/cctv4k.m3u8?auth=testpub
CCTV-4K,http://107.150.60.122/live/cctv4k.m3u8
CCTV-4K,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv4k
CCTV-4K,http://198.204.240.250:82/live/cctv4k.m3u8?jsbt=1760148172&jsbk=8ce47519e62b009dfa80f8fbfb2dd932
CCTV-8K,http://43.156.8.127:5050/ysp?id=2026774101&pid=600156816&q=fhd
CCTV-8K,http://43.156.8.127:5050/ysp?id=2026774101&pid=600156816&q=CCTV8K
CCTV-8K,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv8k
CCTV-8K,http://38.75.136.137:98/gslb/dsdqpub/cctv8k.m3u8?auth=testpub
CCTV-8K,https://t.freetv.fun/live/cctv8k.php
CCTV-1 综合,http://43.156.8.127:5050/ysp?id=2024078201&pid=600001859&q=fhd
CCTV-1 综合,http://69.30.246.194/live/cctv1.m3u8
CCTV-1 综合,http://111.56.90.5/000000000000/6000000001000029752/1.m3u8
CCTV-1 综合,http://111.56.90.5/000000000000/1000000005000265001/1.m3u8
CCTV-1 综合,http://111.56.90.5/000000000000/5000000004000002226/1.m3u8
CCTV-2 财经,http://43.156.8.127:5050/ysp?id=2024075401&pid=600001800&q=fhd
CCTV-2 财经,http://107.150.60.122/live/cctv2hd.m3u8
CCTV-2 财经,http://111.56.90.5/000000000000/6000000001000014161/1.m3u8
CCTV-2 财经,http://111.56.90.5/000000000000/1000000001000023315/1.m3u8
CCTV-2 财经,http://111.56.90.5/000000000000/1000000001000012442/1.m3u8
CCTV-3 综艺,http://38.75.136.137:98/gslb/dsdqbv/cctv3hd.m3u8?auth=test20251009
CCTV-3 综艺,http://43.156.8.127:5050/ysp?id=2024068501&pid=600001801&q=fhd
CCTV-3 综艺,http://111.56.90.5/000000000000/6000000001000022313/1.m3u8
CCTV-3 综艺,http://111.56.90.5/000000000000/1000000005000265003/1.m3u8
CCTV-3 综艺,http://111.56.90.5/000000000000/1000000001000011218/1.m3u8
CCTV-4 中文国际,http://107.150.60.122/live/cctv4hd.m3u8
CCTV-4 中文国际,http://111.56.90.5/000000000000/1000000002000031664/1.m3u8
CCTV-4 中文国际,http://111.56.90.5/000000000000/5000000011000031102/1.m3u8
CCTV-4 中文国际,http://111.56.90.5/000000000000/1000000005000265004/1.m3u8
CCTV-4 中文国际,http://183.129.255.66:8480/hls/4/index.m3u8
CCTV-5 体育,http://38.75.136.137:98/gslb/dsdqbv/cctv5hd.m3u8?auth=test20251009
CCTV-5 体育,http://107.150.60.122/live/cctv5hd.m3u8
CCTV-5 体育,http://38.75.136.137:98/gslb/dsdqpub/cctv5hd.m3u8?auth=testpub
CCTV-5 体育,http://111.56.90.5/000000000000/1000000005000265005/1.m3u8
CCTV-5 体育,http://111.56.90.5/000000000000/6000000001000016431/1.m3u8
CCTV-5+ 体育赛事,http://107.150.60.122/live/cctv5p.m3u8
CCTV-5+ 体育赛事,http://111.56.90.5/000000000000/6000000001000015875/1.m3u8
CCTV-5+ 体育赛事,http://111.56.90.5/000000000000/1000000001000020505/1.m3u8
CCTV-5+ 体育赛事,http://111.56.90.5/000000000000/1000000005000265016/1.m3u8
CCTV-5+ 体育赛事,http://183.129.255.66:8480/hls/6/index.m3u8
